social_class,race,age,sex,college_degree,income_category,religion,religious_service_freq,party_id_3cat,party_id_7cat,ft_hillary_clinton,ft_donald_trump,ft_libertarian_pres_cand,ft_green_pres_cand,ft_john_roberts,ft_pope_francis,ft_christian_fundamentalists,ft_feminists,ft_liberals,ft_labor_unions,ft_poor_people,ft_big_business,ft_conservatives,ft_us_supreme_court,ft_gay_men_and_lesbians,ft_congress,ft_rich_people,ft_muslims,ft_christians,ft_jews,ft_tea_party,ft_police,ft_transgender_people,ft_scientists,ft_black_lives_matter
Middle Class,White,29,Male,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Republican,Strong Republican,15,85,50,40,NA,60,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15
Lower Class,White,26,Male,College Degree,Between $50k and $100k,Not Religious,NA,Republican,Weak Republican,50,60,70,NA,50,50,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50
Working Class,White,23,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",50,70,NA,NA,NA,NA,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30
Middle Class,White,58,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,No Preference,"Independent, leans Republican",15,60,50,NA,40,50,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50
NA,White,38,Female,No College Degree,Less than $50k,Other Religion,Almost Every Week,Independent,"Independent, leans Democrat",30,15,40,70,50,100,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15
Upper Class,White,60,Male,College Degree,Less than $50k,Roman Catholic,Every Week,No Preference,"Independent, leans Republican",0,65,50,50,50,85,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0
NA,Black,58,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Democrat,Strong Democrat,85,50,NA,60,NA,100,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100
Working Class,White,56,Female,No College Degree,More than $250k,Roman Catholic,NA,Independent,"Independent, leans neither",15,85,15,50,50,50,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15
Working Class,Other,45,Male,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Republican",0,70,50,50,50,50,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15
NA,White,30,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Democrat",50,60,60,60,NA,100,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50
NA,White,40,Female,No College Degree,Less than $50k,Evangelical Protestant,NA,Independent,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
